sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_medium,halepensis,medium,2008,7,138.71861282229582,23.248387121385143,0.6000000238418579
halepensis_medium,halepensis,medium,2008,8,130.72993775790985,23.312903188890026,0.800000011920929
halepensis_medium,halepensis,medium,2008,9,81.42394900757363,18.189999866485596,25.699999272823337
halepensis_medium,halepensis,medium,2008,10,48.412922439562145,13.196774067417268,46.59999929368496
halepensis_medium,halepensis,medium,2008,11,16.897807358226,6.843333331743876,49.000000186264515
halepensis_medium,halepensis,medium,2008,12,10.395910811262878,4.909677395897527,22.199999451637268
halepensis_medium,halepensis,medium,2009,1,8.594618145322771,4.209677423680982,6.000000067055225
halepensis_medium,halepensis,medium,2009,2,13.943478221725382,6.003571442195347,21.600000381469727
halepensis_medium,halepensis,medium,2009,3,32.31679378918846,9.49354838555859,42.49999977648258
halepensis_medium,halepensis,medium,2009,4,38.51001569034324,10.24666659037272,11.400000147521496
halepensis_medium,halepensis,medium,2009,5,83.71880904861736,16.500000030763687,1.600000023841858
halepensis_medium,halepensis,medium,2009,6,125.39595050189888,21.916666762034097,0
halepensis_medium,halepensis,medium,2009,7,155.8449045884358,25.264516153643207,0
halepensis_medium,halepensis,medium,2009,8,129.13750151291123,23.109677345521987,4.099999904632568
halepensis_medium,halepensis,medium,2009,9,74.75846556535473,17.113333320617677,47.40000094473362
halepensis_medium,halepensis,medium,2009,10,64.70516227821432,16.23548400017523,6.400000095367432
halepensis_medium,halepensis,medium,2009,11,36.94599167878427,11.966666730244954,8.300000190734863
halepensis_medium,halepensis,medium,2009,12,20.034960269663664,7.845161249560695,171.3999988436699
halepensis_medium,halepensis,medium,2010,1,12.29103724553511,5.435483842126785,80.20000234246254
halepensis_medium,halepensis,medium,2010,2,15.249082964164066,6.4000000176685194,83.4999996945262
halepensis_medium,halepensis,medium,2010,3,23.796076224851625,7.629032261909977,69.39999990910292
halepensis_medium,halepensis,medium,2010,4,44.30899726842102,11.32666670481364,21.899999506771564
halepensis_medium,halepensis,medium,2010,5,67.14107922153346,14.093548344027612,5.799999810755253
halepensis_medium,halepensis,medium,2010,6,101.59299125662552,18.856666596730552,1.6000000089406967
halepensis_medium,halepensis,medium,2010,7,147.8824408795208,24.33548392018964,0.4000000134110451
halepensis_medium,halepensis,medium,2010,8,130.14792704857845,23.238709726641257,2.7000000178813934
halepensis_medium,halepensis,medium,2010,9,84.21529471242975,18.633333237965903,14.700000017881392
halepensis_medium,halepensis,medium,2010,10,50.39557076170515,13.580645222817695,5.499999850988388
