sp,elevation,year,temp_media_anual
sylvestris,low,2016,11.131275831595083
sylvestris,low,2017,11.82420889883051
sylvestris,low,2018,10.159299151158972
sylvestris,low,2019,11.2541858834565
sylvestris,low,2020,11.974594935844788
sylvestris,low,2021,11.399004098518736
sylvestris,low,2022,13.189159048480137
sylvestris,medium,1971,8.93180489600338
sylvestris,medium,1972,8.76263098741341
sylvestris,medium,1973,10.023072178579564
sylvestris,medium,1974,10.377813638367915
sylvestris,medium,1975,9.447000129383746
sylvestris,medium,1976,8.648565993152173
sylvestris,medium,1977,9.559248588210343
sylvestris,medium,1978,9.363085640385878
sylvestris,medium,1979,9.455810954016851
sylvestris,medium,1980,9.382419067582049
sylvestris,medium,1981,10.636333843159331
sylvestris,medium,1982,10.057341300433237
sylvestris,medium,1983,11.422965948112001
sylvestris,medium,1984,9.66401341083616
sylvestris,medium,1985,11.310696378679678
sylvestris,medium,1986,10.938706459699382
sylvestris,medium,1987,11.10635239275924
sylvestris,medium,1988,10.810297562431684
sylvestris,medium,1989,10.884210837960502
sylvestris,medium,1990,10.827478254055038
sylvestris,medium,1991,10.67153933299052
sylvestris,medium,1992,10.488060506073014
sylvestris,medium,1993,10.066086136116715
sylvestris,medium,1994,12.215323238412592
sylvestris,medium,1995,11.767367516163521
sylvestris,medium,1996,9.87636850011117
sylvestris,medium,1997,10.94866293936632
sylvestris,medium,1998,11.593723755296466
sylvestris,medium,1999,11.822130678015004
sylvestris,medium,2000,11.478658117914344
sylvestris,medium,2001,11.815063404404219
sylvestris,medium,2002,11.736000369882227
sylvestris,medium,2003,11.011364552207937
sylvestris,medium,2004,10.635048809730758
sylvestris,medium,2005,10.747012971880947
sylvestris,medium,2006,10.923732078631247
sylvestris,medium,2007,10.653378145884641
sylvestris,medium,2008,10.139528820504845
sylvestris,medium,2009,11.37159177542283
sylvestris,medium,2010,10.4459363891725
sylvestris,medium,2011,10.683312862780024
sylvestris,medium,2012,10.971783138557665
sylvestris,medium,2013,10.096724922240163
sylvestris,medium,2014,10.88113416507783
sylvestris,medium,2015,11.48233745513933
sylvestris,medium,2016,10.914386023411685
sylvestris,medium,2017,11.616671783837772
sylvestris,medium,2018,9.92149961386906
sylvestris,medium,2019,11.03773361102006
sylvestris,medium,2020,11.780074164786893
sylvestris,medium,2021,11.186506015902669
sylvestris,medium,2022,13.021902853577252
